id,original_address_1,original_address_2,standardized_address_1,standardized_address_2,match_level,confidence_score,analysis,method_used,timestamp,status
1,"Rue de Bains 33    ,Genève,1211,CHE","17 Rue de Lausanne,1201,CHE","33 Rue de Bains, Genève, 1211, CHE","17 Rue de Lausanne, Genève, 1201, CHE",LOW,30,"Different street numbers, different street names, and different postal codes indicate these are different addresses within the same city.",azure_openai_batch_with_standardization,2025-08-21T20:47:15.822359,success
2,"Rue Saint-Martin 26    ,Lausanne,1005,CHE","EPFL, INNOVATION PARK, BUILDING F_x000D_
 _x000D_
 _x000D_,Lausanne,1015,CHE","26 Rue Saint-Martin, Lausanne, 1005, CHE","EPFL Innovation Park, Building F, Lausanne, 1015, CHE",MEDIUM,50,"Different street names and postal codes, but both addresses are in Lausanne. They are likely different locations within the same city.",azure_openai_batch_with_standardization,2025-08-21T20:47:15.822359,success
3,"Steinbühlweg 69,Allschwil,4123,CHE","Langhurstwood Road_x000D_
 _x000D_
 _x000D_,Horsham,RH12 4QD,GBR","69 Steinbühlweg, Allschwil, 4123, CHE","Langhurstwood Road, Horsham, RH12 4QD, GBR",NO_MATCH,0,"Completely different countries, cities, and street names. These are entirely different addresses.",azure_openai_batch_with_standardization,2025-08-21T20:47:15.822359,success
4,"Hauptstrasse 4    ,Sisseln,4334,CHE","45 WATERVIEW BLVD_x000D_
 _x000D_
 _x000D_,PARISPPANY,07054,USA","4 Hauptstrasse, Sisseln, 4334, CHE","45 Waterview Blvd, Parsippany, 07054, USA",NO_MATCH,0,"Completely different countries, cities, and street names. These are entirely different addresses.",azure_openai_batch_with_standardization,2025-08-21T20:47:15.822359,success
5,"Hardstrasse 201 Prime Tower,Zürich,8005,CHE","Hardstrasse 201,8005,CHE","201 Hardstrasse, Prime Tower, Zürich, 8005, CHE","201 Hardstrasse, Zürich, 8005, CHE",EXACT,95,"Same street number, street name, city, and postal code. The only difference is the inclusion of 'Prime Tower' in one address, indicating the same location.",azure_openai_batch_with_standardization,2025-08-21T20:47:15.822359,success
6,"Schwarzenburgstrasse 160    ,Liebefeld,3097,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","Schwarzenburgstrasse 160, Liebefeld, 3097, CHE","Blarenberglaan 2, Mechelen, 2800, BEL",NO_MATCH,0,"The addresses are in completely different countries (CHE vs BEL), different cities, and different street names and numbers.",azure_openai_batch_with_standardization,2025-08-21T20:47:34.579065,success
7,"Route de Champ Colin 2    ,Nyon,1260,CHE","Route de la Maison-Carrée 31,CHE","Route de Champ Colin 2, Nyon, 1260, CHE","Route de la Maison-Carrée 31, CHE",NO_MATCH,10,"Different street names and numbers, and the second address lacks city and postal code information.",azure_openai_batch_with_standardization,2025-08-21T20:47:34.579065,success
8,"Route de l Aeroport 31    ,Geneva,1215,CHE","Route de Saint Julien 7/9,1227,CHE","Route de l'Aeroport 31, Geneva, 1215, CHE","Route de Saint Julien 7/9, 1227, CHE",LOW,30,"Different street names and numbers, and different postal codes, though both are in Geneva, CHE.",azure_openai_batch_with_standardization,2025-08-21T20:47:34.579065,success
9,"Rue de Pre-Bois 14    ,Meyrin,CHE","14 Cullum Street London, GB EC3M 7JJ

%1,GBR","Rue de Pre-Bois 14, Meyrin, CHE","14 Cullum Street, London, EC3M 7JJ, GBR",NO_MATCH,0,"The addresses are in completely different countries (CHE vs GBR), different cities, and different street names and numbers.",azure_openai_batch_with_standardization,2025-08-21T20:47:34.579065,success
10,"12 ave des Morgines    ,Petit-Lancy,1213,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","12 Avenue des Morgines, Petit-Lancy, 1213, CHE","Blarenberglaan 2, Mechelen, 2800, BEL",NO_MATCH,0,"The addresses are in completely different countries (CHE vs BEL), different cities, and different street names and numbers.",azure_openai_batch_with_standardization,2025-08-21T20:47:34.579065,success
